title_en,title_ch,year,abstract_en,abstract_ch,keywords_en,keywords_ch
Reliability analysis of time precision boundary for tight slots of TDMA in deterministic scheduling of industrial internet of things,工业物联网确定性调度中TDMA紧时隙时间精度边界可靠性分析,2018,"In deterministic scheduling of internet of things,the time division multiple access (TDMA) tight slots time precision boundary should be ensured. First,this paper establishes the absolute clock synchronization state space model of intermittent observation. According to the intermittent observation equation,the modified absolute clock Kalman filter is deduced,and the random error covariance iteration equation is obtained. Then,the error covariance iterative model is used to modify the Riccati differential equation, the statistical properties of the steady-state error covariance are studied. Finally,the statistical convergence bounds of the critical packet arrival rate and the estimated error covariance of the clock state estimation are both solved,by using the Convex optimization theory and the linear matrix inequation(LMI) tool. For application requirements of network parameter configuration and the tight boundary of the TDMA slot,the clock synchronization error and accuracy of the boundary are quantitatively analyzed when existence of the observation is lost. the trade-off relationship between the clock synchronization precision boundary and the wireless network is established. Moreover, the design method of Guard time bound size is proposed when the observation is lost.","摘要:针对如何保证物联网确定性调度中时分多址(TDMA)紧时隙时间精度边界,首先建立不完全观测的绝对时钟同步状态空间模型;根据间歇观测方程推导修正的绝对时钟卡尔曼滤波器,得到了随机误差协方差迭代式;然后将误差协方差迭代式建模为修正的黎卡提微分方程,研究稳态误差协方差的统计特性;利用凸优化理论和线性矩阵不等式(LMI)工具求解时钟状态估计的临界包到达率和估计误差协方差的统计收敛边界。面向网络参数配置和TDMA时隙的紧边界应用需求,定量分析存在观测值丢失的时钟同步误差与精度边界,建立时钟同步精度边界与无线网络的权衡关系,并提出存在观测值丢失时保时带大小设计方法。",作者关键词:industrial wireless sensor networks; clock synchronization; Kalman filtering; missing observation; error covariance,作者关键词:工业无线传感器网络; 时钟同步; 卡尔曼滤波; 观测值丢失; 误差协方差
Synthesis of logical controllers and discrete-event systems supervisory control theory,逻辑控制器设计与离散事件系统监控理论,2018,"More and more control elements are incorporated into a single system by the information technology such as internet of things. Consequently, the scale of a control system increases quickly, and the control specification becomes more and more complicated. Any logic mistake that violates a given control specification may lead to a serious industrial failure and even security issue. Besides, there is astate space explosionfor discrete event systems. These make a challenge for designing and debugging programs running in programmable logic controllers (PLCs) or field programmable gate arrays (FPGAs). The supervisory control theory of discrete event systems is to implement a given complicated logic specification by formal methods. The specification such as interlock, sequence, mutual exclusion, and language is expressed by a Petri net or automata. It is in turn translated into codes that can be executed by a PLC or FPGA. This paper surveys these formal methods for synthesis of logical controller, which are to shorten the costed time for control programs, to ease the reuse of them, and to increase the safety and reliability of them.","摘要:物联网等通信技术将越来越多的控制元件集成起来,导致系统规模快速增长,逻辑控制规范也日益复杂,任何逻辑错误都可能造成重大事故和人身灾难,再加上维数灾问题,安全可靠的逻辑控制程序的设计和调试面临巨大的计算复杂性难题.而离散事件系统监控理论旨在研究复杂控制规范的设计和实现问题,将连锁、互斥、字符串语言等复杂控制逻辑描述为自动机或Petri网,然后转换为可编程逻辑控制器或现场可编程门阵列上执行的程序代码.本文综述了现有的逻辑控制器的形式化设计方法,主要涉及如何利用监控理论(自动机或Petri网)来缩短程序开发周期、提高程序可重用性和确保程序可靠性和安全性等问题.",作者关键词:programmable logic controller; discrete event systems; field programmable gate array; supervisory control,作者关键词:可编程逻辑控制器; 离散事件系统; 现场可编程门阵列; 监控理论
Comparison of agricultural technology at home and abroad and China's coping strategies,国内外农业技术比较及中国应对策略,2018,"Compared with the international frontier,the gap in agricultural technology in China is shrinking,and a basic pattern of a small number of leading,majority running and running is formed.In the new era,we should vigorously support the research of basic,cutting-edge and public welfare technologies in agriculture,increase the support of various national science and technology plans to the agricultural sector,accelerate the construction of agricultural IoT technology service platforms,and promote the integration of agricultural technology innovation.","摘要:同国际前沿相比较,中国农业技术差距在不断缩小,并已初步形成了少量领跑、多数并跑和跟跑的基本格局。新时期,应大力支持农业基础性、前沿性、公益性技术研究,加大国家各类科技计划向农业领域倾斜支持力度,加快构建农业物联网技术服务平台,着力推进农业技术集成创新。",作者关键词:agricultural technology; technology gap; food industry technology; agricultural frontier technology; advanced manufacturing,作者关键词:农业技术; 技术差距; 食品产业技术; 农业前沿技术; 先进制造
Variant Entropy Profile: A Multi-Granular Information Model for Data on Things with Order-of-Magnitude Compression Ratios,变熵画像:一种数量级压缩物端数据的多粒度信息模型,2018,"In recent years, the massive produced data by the devices of edges and things has brought new paradigms like edge computing and things computing to apply in the Internet of things, which can optimize the performance and energy consumption by moving the computation tasks to the data source as near as possible. However, innumerous resource-constrained devices of things expose two defects of current paradigms, which are computations cannot be offloaded to the endpoint due to the lack of massive data storage capacity, and the redundant computation and storage for raw data bring overheads due to the lack of multi-granular information support for various application demands. To address these two issues, this article proposes a multi-granular information model for data on things with order-of-magnitude compression ratios, called variant entropy model (VEP), and implements a prototype storage module of TSR-VEP. Evaluations on the real smart meter datasets and benchmarks show that VEP can achieve order-of-magnitude compression ratios and multi-granular information storage and query under low application observed errors. Discussion on the test results demonstrates the feasibility of applying VEP on devices of things and the potential of further optimizing for edge computing and things computing.","摘要:近年来由物联网边缘和物端设备产生的数据呈现出爆发式的增长,催生了边缘计算、物端计算等新型物联网计算模式,利用""计算向数据源靠近""这一理念从架构上显著地改善了整体系统性能和能耗.然而,大量资源相对受限的物端设备暴露了现有计算模式的2个缺陷:1)由于不能存储海量数据导致部分计算无法下沉至末端;2)由于无法针对多样化的应用需求提供多粒度信息支持导致冗余计算和存储开销.围绕这2个问题,提出了一种数量级压缩物端数据的多粒度信息模型--变熵画像(variant entropy profile, VEP),及其TSR-VEP数据存储原型.基于真实的智能电表数据集和基准测试实验结果表明:VEP能在较低应用观测误差的前提下,实现物端数据的数量级压缩和多粒度信息存储查询.结合测试结果的讨论显示了VEP具备应用于物端设备的可行性与进一步优化边缘计算和物端计算的潜力.",作者关键词:time series analysis; lossy compression; multi-granular data mining; information abstraction model; edge computing,作者关键词:时间序列分析; 有损压缩; 多粒度数据挖掘; 信息抽象模型; 边缘计算
Location-Constrained Access Control Model and Verification Methods,位置约束的访问控制模型及验证方法,2018,"With the advent of Internet of things and cyber-physical systems, location-constrained access control systems need to consider security requirements of cyber spaces and physical spaces simultaneously, because the boundary between the physical and the cyber world becomes unclear in these new paradigms. However, the most existing access control models consider physical and cyber security separately, and they are oblivious to cyber-physical interactions. Authorization models are needed to help the security policy design and express higher-level organizational security rules. Firstly, the environment model (EM) and location-constrained role-based access control (LCRBAC) model are proposed. The environment model is presented for describing the static topology configuration of cyber space and physical space. The LCRBAC model is used to describe dynamic behaviors of cyber entities and physical entities. Secondly, given the bigraphs and bigraphs reactive systems that describe the environment configuration and entities behaviors respectively, a labeled transition system is obtained by applying reaction rules to the environment configuration. Thirdly, policy modification proposals are proposed for deadlock states, violation states, and unreachable states based on the verification results on the labeled transition system. Finally, a case study concerned with a bank building automation access control system is conducted to evaluate the effectiveness of the proposed approach.","摘要:随着物联网和信息物理融合系统等新一代信息技术的发展,位置约束的访问控制系统的安全性需求不仅体现在虚拟的信息空间,还体现在现实的物理空间.如何在这种新需求下制定位置约束的访问控制模型与验证方法成为保证访问控制系统安全的关键所在.首先提出位置约束访问控制模型,包括LCRBAC模型和EM模型,实现对信息空间和物理空间的静态结构以及两空间中实体动态行为的刻画;其次利用偶图和偶图反应系统建模位置约束访问控制模型,生成访问控制策略标注转移边的标号变迁系统;然后根据标号变迁系统验证结果,提出针对死锁状态、违反状态和不可达状态的策略修改方案;最后通过银行访问控制系统实例分析说明所提方法能够对信息空间和物理空间以及两空间交互行为的访问控制策略进行建模和验证.",作者关键词:location-constrained access control system; model checking; bigraphs; reaction rules; verification,作者关键词:位置约束访问控制系统; 模型检测; 偶图; 反应规则; 验证
Practical Cases of Side-channel Analysis,侧信道分析实用案例概述,2018,"Side-channel attacks can extract intermediate values of cryptographic operation by some physical channels, and then divide and conquer a long secret key, which is a popular research topic in cryptography. Side-channel attacks can often break cryptosystems easier than traditional cryptanalysis. Nowadays, the main evaluation institutions for cryptographic products in the world regard the sidechannel protection capability as the main security measure of devices or chips. Even if a product has obtained authoritative security certification, it may still be broken by side-channel attacks. In this paper, some kinds of side-channel attack technologies and cases on practical cryptographic modules and security products are studied. The channel includes power, electromagnetic emission, fault information, remote electromagnetic and sound, cache, and so on. Some development trends of these attacks are discussed. Especially in the past three years, the side-channel attackers pay more attention to the Internet of Things, industry control system, mobile phone, intelligent terminal, and some other popular devices. Some common cryptographic devices are broken by these technologies, which bring great security threat to the personal property and collective interests.","摘要:侧信道攻击技术是国际密码学研究的热点方向,它能够通过物理信道直接获得密码运算的中间信息,也能够分段恢复较长的密钥,因而它比传统密码分析更容易攻击实际密码系统.目前国际主流的密码产品测评机构均把侧信道攻击的防护能力作为衡量设备或芯片安全性的主要指标,但产品即使取得了权威的安全认证,仍然可能会被侧信道攻击攻破.本文归纳了近年来国际上的学者、黑客们利用侧信道攻击破解密码模块或安全产品的技术与案例,分别从能量攻击、电磁辐射攻击、故障攻击、中距离电磁与声音攻击、缓存攻击等角度进行详细阐述,并对未来发展趋势进行了探讨.尤其是近三年内,物联网设备、工业控制系统、手机、智能终端等流行设备都成了侧信道攻击者们热衷研究的对象,多种常见密码设备已被侧信道攻击技术破解,为个人财产、集体利益带来了极大的安全威胁.希望能够通过本文的综述,引起业界对物理安全问题的高度重视,新产品在快速研发、占领市场的同时,也应达到足够的安全等级.",作者关键词:side-channel attack; power attack; electromagnetic attack; fault attack; cache attack,作者关键词:侧信道攻击; 能量攻击; 电磁攻击; 故障攻击; 缓存攻击
IoT Device Recognition Framework based on Web search,基于搜索的物联网设备识别框架,2018,"More and more internet of things ( IoT ) devices are connected to the Internet, but many of them have design defects and less security consideration because of lower price and limit resources. These devices, therefore, are more easily cracked by malicious attackers by utilizing various implementation vulnerabilities. It is well known that IoT devices from same manufactures were tend to have same vulnerabilities, so we can obtain some valuable hints through the brand and model of devices without the need to verified the vulnerabilities one by one while evaluating devices' security status. Some research proposed methods to identify the categories or manufactures of IoT devices, but the information is so coarse that many devices may be marked with wrong security tags. In this paper, we proposed a IoT devices recognition framework based on Web search, which identified IoT devices in fine-grained manner, the brand and model, by matching their protocol banners with the products attributes database collected from specific electronic business Webs. Because the collecting is never end, we can recognize more and more IoT devices as some new products are found and put into the database. Internet experiments showed that, with our framework, the recognition accuracy on brands and models, for video surveillance and industrial control equipment, exceeds 90%.","摘要:越来越多的物联网设备接入到互联网中,但由于设计上的缺陷或者缺乏安全防护手段,这些暴露在公网上的物联网设备极容易受到黑客的攻击与利用。研究表明,具有相似产品属性的物联网设备很有可能存在相同漏洞,因此有效的识别网络空间中的物联网设备,对其产品属性,如设备品牌、型号等相关信息进行细粒度识别和标定,对把握网络空间实体设备的安全态势具有重要意义。本文提出一种基于搜索的物联网设备识别框架,利用物联网设备协议标语中富含的产品属性信息,通过自动化网络搜索技术构建物联网设备信息库,进而实现对未知新设备细粒度地自动分级识别和标定。通过公网实验,该框架能够很好识别视频监控和工控设备的产品属性,型号识别准确率均超过90%。",作者关键词:internet of things security; products attributes recognition; protocol banners; fine-grained manner,作者关键词:物联网安全; 设备产品属性识别; 协议标语; 细粒度
Brushless DC motor drive characteristics and system for reel-type irrigator,电驱动卷盘式喷灌机驱动与控制系统,2018,"Aiming at the problem that the existing electric drive reel irrigation machine can not achieve the wireless connection and control of operation information,a brushless direct-current (DC) motor drive and control system based on mobile APP were designed. To replace the mechanical type water turbine DC motor as driving device of reel sprinkling machine,reel sprinkling machine field operation model was analyzed and built. Using STM32 as a system controller,introducing the incremental PID motor,mobile phone client and to remotely monitor the reel sprinkling machine industry were designed, completed the automatic correction system. Through experiments,the drive motor can be stable at a set speed and quickly returned to the set value in 10% the disturbance of load speed. The mobile phone client can run the remaining time,remote monitoring the residual time of the reel sprinkling machine,PE pipe length motor speed,reel speed and recovery rate of PE pipe,which provides the guarantee for the realization of sprinkler irrigation wisdom.","摘要:针对现有电驱动卷盘喷灌机无法实现作业信息无线物联和控制的问题,设计了一种基于手机APP的卷盘式喷灌机无刷直流电动机驱动与控制系统.以直流电动机代替机械式水涡轮作为卷盘喷灌机的驱动装置,分析并建立了卷盘喷灌机现场作业工况模型;采用STM32作为系统控制器,引入了增量式PID电动机调速,设计了可以远程监控卷盘喷灌机作业的手机客户端,系统完成自动校正.经过试验测试表明,驱动电动机可以稳定在设定转速上,在10%的负载扰动下转速可以较快回到设定值,手机客户端可以远程监控卷盘喷灌机的运行剩余时间、PE管长度电动机转速、卷盘转速和PE管回收速度等作业信息,为实现喷灌机智慧灌溉提供了前台保障.",作者关键词:reel-type irrigator; brushless direct-current motor; speed control; internet of things; mobile APP client,作者关键词:卷盘喷灌机; 无刷直流电动机; 转速控制; 物联网; 手机APP客户端
Measurement and analysis of the electromagnetic noise of industrial internet of things,工业物联网电磁噪声测量与分析,2018,"Industrial internet of things (IoT) technology can greatly increase the production efficiency,improve product quality,reduce product costs,and achieve intelligent factory production. But factory-level noise can have a huge impact on IoT technologies that use lowpower wireless sensor devices as the core. So far,the noise research in the scene of the industrial IoT has not been studied. Therefore, the logarithmic periodic antenna and spectrum analyzer are used to measure the electromagnetic noise in the 300 MHz ~ 6.5 GHz band near manual spot welder and welder robot in a welding workshop in a car factory. The noise frequency is mainly distributed between 300 and 900 MHz,the noise power between - 110 and - 90 dBm,the noise bandwidth between 3 and 25 kHz,and the noise frequency interval between 15 and 70 kHz. The measurement results show that the electromagnetic noise distributions near the manual spot welding machine and the welding robot are the same,the horizontal and vertical polarization results are similar,and the shape of noise power spectra is similar to the narrow-band Gauss noise.","摘要:工业物联网技术可以大幅度提高工厂的生产效率,改善产品质量,降低产品成本,实现工厂的智能化生产。但工厂环境的噪声会对以低功耗无线传感设备为核心的物联网技术产生巨大的影响,国内外目前还没有展开工业物联网场景下的噪声研究工作。为此,应用对数周期天线与频谱仪,在某汽车厂焊接车间的手工点焊机与焊接机器人附近进行了300 MHz ~ 6.5 GHz频段的电磁噪声测量。噪声频率主要分布在300 ~ 900 MHz,噪声功率主要分布在- 110 ~ - 90 dBm,噪声带宽主要分布在3 ~ 25 kHz,噪声频率间隔主要分布在15 ~ 70 kHz。测量结果表明,天线水平、垂直极化方式测得噪声信号分布及功率特征相近,手工点焊机与焊接机器人附近的电磁噪声分布大体相同,噪声功率谱形状与窄带高斯噪声相近。",作者关键词:industrial internet of things; welding workshop; measurement of electromagnetic noise,作者关键词:工业物联网; 焊接车间; 电磁噪声测量
"Plant phenomics:history,present status and challenges",植物表型组学:发展、现状与挑战,2018,"With the development of remote sensing,robotics,computer vision and artificial intelligence,plant phenomics research has been developing rapidly in recent years. Here,we first introduced a concise history of this research domain,including the theoretical foundation,research methods,biological applications,and the latest progress. Then,we introduced some important indoor and outdoor phenotyping approaches such as handheld devices,ground-based manual and automated vehicles,robotic systems,Internet of Things(IoT)based distributed platforms,automatic deep phenotyping systems,and large-scale aerial phenotyping,together with their advantages and disadvantages during the applications. In order to extract meaningful information from big image-and sensor-based datasets generated by the phenotyping process,we also specified key phenotypic analysis methods and related development procedures. Finally,we discussed the future perspective of plant phenomics,with recommendations of how to apply this research field to breeding,cultivation and agricultural practices in China.","摘要:随着遥感、机器人技术、计算机视觉和人工智能的发展,植物表型组学研究已经步入了快速成长阶段。本文首先介绍了植物表型组学的发展简史,包括其理论核心、研究方法、在生物研究中的应用以及国际上最新的研究动向。然后,针对各类表型技术载体平台如手持、人载、车载、田间实时监控、大型室内外自动化平台和航空机载等,分析这些技术手段在室内、外植物研究中的应用情况和实际问题。为了对表型研究中产生的巨量图像和传感器数据进行量化分析,把大数据转化为有实际意义的性状信息和生物学知识,本文着重讨论了后期表型数据解析和相应的研发过程。最后,提出表型组学的应用前景与未来展望,以期为中国的表型研究提供指导和建议。",作者关键词:phenomics; multi-scale phenotyping; remote sensing; imaging; robotics; Internet of Things(IoT); artificial intelligence; high-throughput traits analyses,作者关键词:表型组学; 多层次表型; 遥感; 成像技术; 机器人技术; 物联网; 人工智能; 高通量性状分析
Blind Source Separation of the Multi-Signal Single Channel Based on Kalman Filtering,Kalman滤波下的多信号单通道盲源分离,2018,"In a narrowband network environment,the signals received by the receiver are usually multi-channel mixed signals. For single channel receivers,it is difficult to separate the mixed signals and extract the source signals by using conventional blind source separation method. To solve this problem,this paper proposed a method of single channel blind source separation using Kalman filtering algorithm for signal estimation. This method used the time-series structure between signals and uses the Kalman filter algorithm to continuously estimate and iteratively update the source signal in the multisignal mixture,finally the signal got separated. Simulation results show that the proposed method can effectively estimate and separate the source signals.","摘要:窄带物联网环境中,接收机收到的信号通常为多路混合信号,对单通道接收来说,利用常规盲源分离方法很难实现混合信号的分离和源信号提取。针对这一问题,本文提出了一种利用Kalman滤波算法进行信号估计,解决单通道盲源分离的方法。该方法利用信号间的时序结构,通过Kalman滤波算法对多信号混合中的源信号不断估计并迭代更新,最终得到分离信号。仿真实验结果表明,该方法能有效估计并分离出源信号。",作者关键词:blind source separation; single channel; Kalman filtering; time-series structure,作者关键词:盲源分离; 单通道; Kalman滤波; 时序结构
Review on Data Forwarding Model in Internet of Things,物联网环境下数据转发模型研究,2018,"With the in-depth researches of new technologies or methods such as 5G, software defined networking (SDN), named data networks (NDN), and mobile edge computing or fog computing, Internet of Things (IoT) applications undergo further advancement. In an environment of variety of application scenarios, high quality of service and universal participation of objects, data forwarding models based on traditional wireless sensor networks (WSN) that is the subset of IoT cannot fully adapt to meet the needs. Therefore, in order to guarantee the successive of IoT services, it is the most basic problem and research interest to develop data forwarding mechanism more suitable for IoT. First, in this paper, the architecture of IoT and the key problems of data forwarding in IoT are analyzed. Second, a number of representative studies of data forwarding for IoT are classified. Then, for the chosen typical data forwarding models in different IoT scenarios, their mathematic methods, merits and shortcomings are reviewed along with a comparison of the models in many aspects. Finally, the research problems are analyzed in detail and some future development directions are suggested. In summary, this study shows that the emergence of the new technologies, such as 5G, brings the opportunities and challenges for the research of data forwarding model in IoT. Thus, the key emphasis in future work will be the theoretical research of the model and method of energy-efficient of data forwarding in IoT in providing a solid foundation for the practical applications.","摘要:随着5G移动通信技术、软件定义网络、命名数据网、移动边缘计算或雾计算等新兴技术或方法的出现及深入研究,物联网应用得到进一步升华.在这种应用场景多样化、服务质量高要求、参与对象普及化的环境下,隶属物联网子范畴的传统无线传感器网络数据转发模型已经不能完全适应这种时代需求,更加适合物联网应用的数据转发模型成为物联网连续性服务保障的基础性问题及研究热点.首先对物联网架构及其应用环境下的数据转发的关键问题进行了分析;其次,对目前具有代表性的物联网数据转发相关研究成果进行了分类总结;然后,选取不同物联网场景下典型的数据转发模型及其使用的数学方法进行评述、分析和对比;最后,指出目前研究中存在的问题及相应的解决方案,并对未来的发展方向进行了展望.研究表明:5G等新兴技术的出现,为物联网环境下数据转发模型的研究带来了新的机遇和挑战,今后的工作重点是对物联网环境下数据转发的节能模型和方法进行攻关,为实际应用提供坚实的理论基础.",作者关键词:Internet of Things; data forwarding; wireless sensor network; mobile opportunity network; named data network; mobile edge computing,作者关键词:物联网; 数据转发; 无线传感网; 移动机会网络; 命名数据网络; 移动边缘计算
Modeling and analysis of multiple access channel capacity based on hybrid energy storage and energy harvesting,基于混合储能和能量捕获的多接入信道容量建模与分析,2018,"Energy harvesting (EH) has been considered as a promising technology to solve the constrained energy problem in the devices of IoT with its advantages of flexible deployment and sustainable energy supply. For multiple access channel with energy harvesting, a hybrid energy storage structure model composed by super capacitor and battery was proposed for the devices of IoT. According to the peculiarities of medium access channel and energy harvesting system, an optimized energy allocation strategy with exponential-type decline (ETD) was presented, the upper and lower bounds of the average throughput were deduced, in particular, the gap of two bounds was derived to be a constant. The channel capacity was further obtained by utilizing the relationship between the average throughput and the channel capacity. In the simulations, the effect of harvested energy, storage capacity and the number of nodes on the channel capacity were analyzed respectively. Experiment results show that compared with the conventional wireless node with single battery storage, the proposed hybrid energy storage structure can improve the harvested energy value and increase the multiple access channel capacity by using adaptive modulation scheme when transmitting the signals.","摘要:能量捕获具有部署灵活和可持续供能的优点,已成为解决物联网中设备能量受限的有效途径之一。针对基于能量捕获的多接入信道,能量捕获技术存在能量来源不稳定、存储设备容量有限等因素,因此采用基于超级电容和电池的混合储能结构。根据其信道的特点和能量捕获的随机特性,引入节点能量约束关系,提出了一种呈指数型下降(ETD)的近似最优能量分配策略对平均吞吐量进行分析,推导其上下界及其常数差值。最后利用平均吞吐量和信道容量的关系求得近似信道容量。实验分析了捕获能量、储能容量以及节点数目对多接入信道容量的影响,同时实验结果表明,相比传统节点采用电池作为单一储能单元,采用混合储能结构可以有效地提高节点的捕获能量数值,使其在信号的发送上采用多进制的传输方式,进而增大多接入信道的容量。",作者关键词:IoT; energy harvesting; hybrid energy storage; channel capacity; energy allocation,作者关键词:物联网; 能量捕获; 混合储能; 信道容量; 能量分配
Supply chain network establishment based on cloud manufacturing,基于云制造的供应链网络构建研究,2018,,"云制造在对大范围分布式制造资源进行整合封装与匹配共享的同时,赋予了分布式制造更大的动态性与随机性.云制造供应链是在云制造技术体系下构建成的网链关系,是以云计算、物联网、人机交互系统等先进信息技术为支撑,更加柔性、开放、自主的供应链,基于云制造供应链,对分布式云制造环境下的不确定型供应链网络各节点的供应商选择进行了分析与研究,以风险评审技术(VERT)为理论支撑,研究提出了云制造供应链网络构建的框架及方法体系,并通过算例仿真分析,对该方法进行了验证.",,作者关键词:云制造供应链; 网络规划; 风险评审技术; 供应商选择
Weighing and Casting System About Crab's Feed Based on Internet of Things,基于物联网的蟹种饲料称重投放系统,2018,"Weighting and casting of feed is an important part of modern crab farming, intelligent weighing devices will contribute to the scientific feeding management. The system's control scheme was designed based on the three-layer architecture of Internet of Things. The STM32 embedded microcontroller was used as the control core, the pressure sensor measured the weight of the feed in real-time, and the vibrating motor was controlled by the PWM square wave output based on the incremental PID algorithm. The host computer monitoring software was designed. The PC or mobile client could set the feeding requirements remotely, transmit information through the wireless communication, enter the database, and display the real-time data and query historical data. The system has simple structure, accurate weighing and stable operation. It can work with more than one device and has a good value for popularization and application.","摘要:饲料的称重投放是现代蟹种养殖的重要组成环节,智能化的称重投放装置有助于科学地投喂管理。基于物联网的三层体系结构设计了系统的控制方案,采用STM32嵌入式单片机作为控制核心,压力传感器实时检测饲料的重量,通过增量式PID算法输出PWM方波控制振动电机的振动下料。并设计了上位机监控软件,PC或移动客户端可远程设置投料要求,通过无线通信传输投料信息,录入数据库,进行实时数据显示和历史数据查询。该系统经实测,结构简单,称重准确,运行稳定,可多台装置协同工作,有良好的推广应用价值。",作者关键词:PID; crab breeding; feed weighing casting; Internet of Things; embedded; PID; host computer monitoring,作者关键词:蟹种养殖; 饲料称重投放; 物联网; 嵌入式; 上位机监控
A Short Identity-based Signature Scheme with Bilateral Security,一种具有双向安全性的基于身份的短签名方案,2018,"Short identity-based signature with forward-secure is an important research direction of digital signature, which has important applications in industrial control protocol of IOT (Internet of things). Based on the BONEH's scheme, starting from the basic idea of forward security definition, a scheme with bilateral security and short identity-based signature was structured, and scheme not only has the security property of identity-based signature, but also satisfies forward security and backward security, which effectively solves the problem of private key leakage in identity-based signature schemes. Subsequently, the scheme was proved to be existentially unforgeable under the adaptive chosen message and identity-based attacks in random oracle model with k-traitors (k-CAA) problem. Finally, the scheme was compared with several classical schemes about the efficiency analysis and was successfully implemented with C in the same environment. The results show that the computational complexity of the signature and verification is lower and the length of the signature is shorter.","摘要:具有前向安全性和基于身份的短签名是数字签名的重要研究方向,在物联网工控协议中具有重要应用.文章在BONEH方案的基础上,从前向安全定义的根本思想出发,构造了一种具有双向安全性的基于身份的短签名方案,方案不仅具有基于身份的短签名的安全性质,还具有前向安全性和后向安全性,有效解决了基于身份的签名方案的私钥泄露问题.文章在k-CAA困难问题和随机预言机模型下,证明了签名方案在适应性选择消息和身份攻击下是存在性不可伪造的.文章最后与几种经典方案进行了效率分析比较,并用C语言实现了方案,实验结果表明,文中方案签名和验证的计算复杂度较低,签名长度较短.",作者关键词:forward security; backward security; identity-based signature; short signature; random oracle model,作者关键词:前向安全性; 后向安全性; 基于身份的签名; 短签名; 随机预言机模型
Infrared monitoring system for substation based on intelligent visual internet of things,基于智能视觉物联网的变电站红外监测系统,2018,"The widespread power cut caused by substation power equipment failure will bring about huge economic losses and negative impact on society. According to the characteristic that power equipment failure can produce abnormal temperature, an infrared monitoring system based on intelligent visual internet of things for substation is presented. This system realizes remote monitoring by wireless network and alarms the equipment's heat anomaly in real time. The accurate locating of the abnormal heat-generating area is achieved by using the infrared image and the visible image registration method based on the spatial position constraint and the direction constraint. The system will mark the abnormal heating area and the high temperature area with visual labels, and analyze the temperature change in the heat region as a result of which the occurrence and even the severity of the breakdown can be prevented. The experimental results demonstrate that the system can detect and locate the equipment's temperature anomaly immediately and accurately, achieve the continuous monitoring of the abnormal temperature area as well as alarming the breakdown, and provide reliable guarantee for the monitoring of substation equipment anomaly.","摘要:变电站电力设备故障导致大面积停电时会造成巨大的经济损失和社会影响。根据电力设备故障会产生温度异常的特点,提出一种基于智能视觉物联网的变电站红外监测系统。该系统通过无线组网实现远程监控,对设备发热异常进行实时报警。利用基于空间位置约束和方向约束的红外图像与可见光图像配准方法实现异常发热区域的精确定位。对异常发热区域和温度较高区域打上视觉标签,分析温度变化情况,预防故障的发生和升级。实验结果表明,该系统能够准确、实时地检测和定位设备温度异常区域,对温度过高区域进行持续监测并对故障进行预警,为变电站设备异常监测提供了可靠保证。",作者关键词:substation; infrared monitoring; intelligent visual internet of things; accurate positioning; visual label,作者关键词:变电站; 红外监测; 智能视觉物联网; 精确定位; 视觉标签
